,driverId,driverRef
998,1.9209635967835477,alonso
2175,5.089553437927158,hamilton
2589,1.9796549043459843,raikkonen
6007,4.8439360236483155,vettel
6430,0.7033372350161752,perez
6656,2.159889192617829,ricciardo
6997,0.3660818121384515,grosjean
7180,-0.06893393306252146,kevin_magnussen
7311,2.7659464389319015,bottas
7502,0.5353891456724407,hulkenberg
7837,0.1308213896460454,sainz
7992,2.9252301550657283,max_verstappen
8181,-0.5000014566521159,vandoorne
8223,0.3851608194737742,ocon
8325,-0.027563046404780505,leclerc
8419,-0.2919077799384859,stroll
8680,-0.23426681259333715,gasly
9747,-0.7438017380047003,ericsson
9879,-0.498919579109326,brendon_hartley
11078,-0.4594337764099259,sirotkin
91,0.9885372987350725,button
2938,1.0758809952104982,massa
6903,0.10032779609722108,resta
7685,-0.011669842921139144,kvyat
8145,-0.6186599710609297,jolyon_palmer
9842,-0.6696597970632129,wehrlein
9905,-0.18232175792492794,giovinazzi
1341,2.6904152247929507,rosberg
7797,-0.44840303855022995,nasr
9652,-0.7682126569271833,gutierrez
11297,-0.3089490281221568,haryanto
10516,-0.46836346191983536,maldonado
11425,-0.3253533714511215,merhi
11438,-0.43318254359777464,stevens
25019,-0.21287237277537524,rossi
1626,-0.38804827722373497,sutil
6352,-0.08071908698394256,kobayashi
6938,-0.4209871167567363,vergne
9710,-0.6580683670342888,jules_bianchi
10927,-0.6911089664429871,chilton
24892,-0.07551473284655291,lotterer
2551,-0.4022284790048709,kovalainen
3826,1.3660641886819787,webber
10887,-0.7305011868386773,pic
10961,-0.43318254359777464,garde
892,-0.5841267922285941,glock
4197,1.4830042587045618,michael_schumacher
5068,-0.6796588834151038,rosa
6294,-0.321319444331407,petrov
10319,-0.47281791040245946,bruno_senna
10642,-0.7406627874700613,karthikeyan
11288,-0.45199066960918116,ambrosio
324,0.08913819230233887,barrichello
645,-0.39071843471262196,trulli
1542,-0.5737141964372926,buemi
1756,-0.18854123466301967,heidfeld
5877,-0.6811811574197945,liuzzi
5956,-0.4912173523927171,alguersuari
11317,-0.2931558463884634,chandhok
4164,-0.6765912725501945,klien
5775,0.8013294944548925,kubica
10980,-0.43318254359777464,grassi
11472,-0.4707987956205876,yamamoto
1596,-0.51112336398232,bourdais
1935,-0.2872537599973868,fisichella
8842,-0.6074217366906044,nakajima
10385,-0.382181171024969,piquet_jr
11041,-0.8119910624253361,badoer
3554,0.15623401341543866,coulthard
8881,-0.6082113966480605,sato
10088,-0.5262977281846756,davidson
3207,0.002475508095364912,ralf_schumacher
3795,-0.5950323110962055,speed
4850,-0.5286021376135065,wurz
8969,-0.7396098192611945,albers
24781,-0.07551473284655291,markus_winkelhock
3382,-0.18097918441964178,villeneuve
4044,0.6402740155914479,montoya
10689,-0.6394381320768534,monteiro
11099,-0.20199680447776253,ide
11457,-0.2931558463884634,doornbos
14825,-0.23677068360822673,montagny
4844,-0.6908597946174508,zonta
