raceId,year,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driverId,constructorId,grid,results_positionOrder,milliseconds,statusId,circuit_country,constructor_points,constructor_position,constructor_wins,constructor_nationality,driver_nationality,driver_points,driver_wins,driver_age,results_points
503,1980,0.3458976620940437,0.0,0.0,1.0,1.0,0.0,-0.4651622445909126,0.48136804820822493,10,19,1.0,0,19,-0.34925460798041763,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.27660155746893206,-0.33081328628304274,0.30434782608695654,0.0
499,1980,0.3355812414266881,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,13,5,0.12797447639000875,1,7,-0.5266668803368377,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.27660155746893206,-0.33081328628304274,0.26086956521739135,2.0
510,1980,-0.9796766326973446,0.0,1.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,12,13,1.0,0,8,-0.05356748738638421,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.0796977937758315,-0.33081328628304274,0.30434782608695654,0.0
506,1980,-0.6410837445045687,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,14,11,1.0,0,11,-0.29011718386161095,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.1781496756223818,-0.33081328628304274,0.30434782608695654,0.0
509,1980,-0.5653300449208075,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,24,7,1.0,0,14,-0.23097975974280427,9.0,-0.33081328628304274,-0.35019900426461786,10,-0.0796977937758315,-0.33081328628304274,0.30434782608695654,0.0
507,1980,-0.8089048505043581,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,12,7,0.09763476287862159,1,3,-0.29011718386161095,9.0,-0.33081328628304274,-0.35019900426461786,10,-0.1781496756223818,-0.33081328628304274,0.30434782608695654,0.0
498,1980,0.7835117311437221,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,12,6,1.0,0,1,-0.6449417285744511,6.0,-0.33081328628304274,-0.35019900426461786,10,-0.47350532116203264,-0.33081328628304274,0.26086956521739135,1.0
500,1980,0.04840430357600734,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,0,20,1.0,0,27,-0.5266668803368377,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.27660155746893206,-0.33081328628304274,0.30434782608695654,0.0
504,1980,-0.508198080411075,0.0,0.0,1.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,7,20,1.0,0,10,-0.34925460798041763,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.27660155746893206,-0.33081328628304274,0.30434782608695654,0.0
505,1980,-0.36399729096431066,1.0,0.0,0.0,0.0,0.0,-0.4651622445909126,0.48136804820822493,7,6,1.0,0,33,-0.29011718386161095,8.0,-0.33081328628304274,-0.35019900426461786,10,-0.1781496756223818,-0.33081328628304274,0.30434782608695654,1.0
