raceId,year,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driverId,constructorId,grid,results_positionOrder,circuit_country,constructor_wins,constructor_nationality,driver_nationality,driver_wins,driver_age,Unnamed: 0,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms,results_points
1,2009,-0.35736256684304213,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.44776168196334803,1,1,2,0.4165074930726372,-0.3023279369382998,33,0.4165074930726372,0.6000000000000001,0,1.0,8711.0,9255.0,8802.0,10.0
90,2004,-0.35736256684304213,0.0,0.0,1.0,0.0,0.0,0.35530221024768355,-0.4902543132256861,4,6,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.3500000000000001,1872,4.0,9398.0,27578.0,27352.0,3.0
108,2003,-0.35736256684304213,1.0,0.0,1.0,1.0,0.0,0.35530221024768355,-0.4902543132256861,8,10,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.30000000000000004,2226,8.0,9482.0,27578.0,27352.0,0.0
338,2010,-0.35736256684304213,0.0,0.0,0.0,1.0,1.0,0.35530221024768355,0.3364058758658942,4,1,2,0.4165074930726372,-0.3023279369382998,33,0.4165074930726372,0.6499999999999999,4116,4.0,9297.0,8931.0,9075.0,25.0
841,2011,-0.35736256684304213,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,4,6,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.7,4548,4.0,9386.0,9357.0,9179.0,8.0
880,2013,-0.35736256684304213,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,10,9,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8,5466,10.0,11088.0,10244.0,9357.0,2.0
900,2014,-0.35736256684304213,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,10,3,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8500000000000001,5897,11.0,9496.0,10837.0,27352.0,15.0
36,2007,-0.35736256684304213,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.6618636158540444,14,15,2,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.5,712,14.0,9240.0,8964.0,27352.0,0.0
55,2006,-0.35736256684304213,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.6618636158540444,1,10,2,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.44999999999999996,1144,1.0,8881.0,8937.0,8729.0,0.0
71,2005,-0.35736256684304213,0.0,0.0,0.0,0.0,1.0,0.35530221024768355,-0.4902543132256861,8,11,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.3999999999999999,1485,8.0,10612.0,9616.0,27352.0,0.0
18,2008,-0.35736256684304213,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.6618636158540444,12,18,2,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.55,351,13.0,9312.0,8859.0,27352.0,0.0
158,2000,-0.35736256684304213,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.3846628266786927,21,11,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.1499999999999999,2616,21.0,10128.0,27578.0,27352.0,0.0
926,2015,-0.35736256684304213,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,16,11,2,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8999999999999999,6294,17.0,9522.0,27578.0,27352.0,0.0
2,2009,-0.41516799628998374,0.0,0.0,1.0,1.0,0.0,0.35530221024768355,0.44776168196334803,1,1,17,1.152042002115805,-0.3023279369382998,33,1.152042002115805,0.6000000000000001,39,1.0,9558.0,10084.0,9681.0,5.0
19,2008,-0.41516799628998374,0.0,0.0,0.0,0.0,1.0,0.35530221024768355,-0.6618636158540444,11,10,17,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.55,383,11.0,10347.0,9708.0,27352.0,0.0
54,2006,-0.41516799628998374,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.6618636158540444,2,3,17,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.44999999999999996,1124,2.0,9523.0,9827.0,10286.0,6.0
91,2004,-0.41516799628998374,0.0,0.0,0.0,1.0,0.0,0.35530221024768355,-0.4902543132256861,6,3,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.3500000000000001,1881,6.0,9621.0,27578.0,27352.0,6.0
125,2002,-0.41516799628998374,1.0,0.0,1.0,0.0,0.0,0.35530221024768355,-0.027128826362156057,8,4,17,-0.3190270159705307,-0.24358058524100326,33,-0.3190270159705307,0.25,2539,8.0,9945.0,27578.0,27352.0,3.0
339,2010,-0.41516799628998374,0.0,0.0,1.0,0.0,0.0,0.35530221024768355,0.3364058758658942,17,8,17,0.4165074930726372,-0.3023279369382998,33,0.4165074930726372,0.6499999999999999,4138,17.0,11411.0,27578.0,27352.0,4.0
842,2011,-0.41516799628998374,0.0,0.0,1.0,0.0,0.0,0.35530221024768355,0.3364058758658942,4,2,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.7,4569,4.0,9733.0,10069.0,9700.0,18.0
901,2014,-0.41516799628998374,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,10,6,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8500000000000001,5922,10.0,12889.0,12910.0,12453.0,8.0
37,2007,-0.41516799628998374,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.6618636158540444,15,12,17,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.5,746,15.0,10413.0,9688.0,27352.0,0.0
109,2003,-0.41516799628998374,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.4902543132256861,9,7,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.30000000000000004,2242,9.0,9873.0,27578.0,27352.0,2.0
72,2005,-0.41516799628998374,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.4902543132256861,9,18,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.3999999999999999,1498,9.0,9916.0,9816.0,27352.0,0.0
881,2013,-0.41516799628998374,0.0,0.0,1.0,1.0,1.0,0.35530221024768355,0.3364058758658942,7,17,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8,5492,8.0,10187.0,9817.0,11475.0,0.0
927,2015,-0.41516799628998374,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,17,17,17,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8999999999999999,6325,17.0,10736.0,27578.0,27352.0,0.0
3,2009,0.31885559340562003,0.0,0.0,0.0,1.0,0.0,0.35530221024768355,0.44776168196334803,5,3,9,1.152042002115805,-0.3023279369382998,33,1.152042002115805,0.6000000000000001,57,5.0,10033.0,10056.0,10132.0,6.0
