,raceId,year,circuitId,driverId,constructorId,laps,fastestLap,fastestLapTime,fastestLapSpeed,first_5_avg_time,last_10_avg_time,lap_position_after_5,lap_position_before_last_10
0,1,2009,1,18,23,58,17,1:28.020,216.891,90824.4,105341.9,1,1
2591,1,2009,1,8,6,55,35,1:28.488,215.744,92750.0,96620.14285714286,5,15
1623,1,2009,1,16,10,58,43,1:28.943,214.640,106354.4,101145.6,18,13
1335,1,2009,1,3,3,58,48,1:27.706,217.668,93005.2,103590.3,6,7
1596,1,2009,1,7,5,58,50,1:29.823,212.537,96385.4,101347.2,15,12
986,1,2009,1,4,4,58,53,1:28.712,215.199,96294.0,104224.6,14,5
3827,1,2009,1,17,9,57,38,1:28.508,215.695,115913.4,108587.0,19,16
635,1,2009,1,15,7,58,50,1:28.916,214.706,96184.4,102363.9,13,9
891,1,2009,1,10,7,58,53,1:28.416,215.920,96474.4,104088.9,16,6
1751,1,2009,1,2,2,58,48,1:28.283,216.245,106238.4,100633.7,17,14
2178,1,2009,1,1,1,58,39,1:29.020,214.455,95524.8,102463.3,10,10
309,1,2009,1,22,23,58,43,1:29.066,214.344,93359.0,105081.1,7,3
1541,1,2009,1,67,5,58,34,1:29.230,213.950,95724.6,102526.4,11,11
5776,1,2009,1,9,2,55,36,1:27.988,216.970,92533.6,89540.57142857143,4,4
1935,1,2009,1,21,10,58,51,1:29.005,214.491,96077.2,102996.2,12,8
6009,1,2009,1,20,9,56,8,1:28.140,216.596,91684.0,98793.375,2,2
1546,2,2009,2,67,5,30,16,1:38.938,201.689,114732.0,121459.44444444444,18,14
3834,2,2009,2,17,9,31,14,1:37.672,204.304,102774.0,125400.5,7,10
1013,2,2009,2,4,4,31,17,1:39.006,201.551,102568.4,132579.9,5,5
1598,2,2009,2,7,5,31,17,1:39.242,201.072,104678.6,124089.2,15,16
1346,2,2009,2,3,3,31,13,1:37.598,204.459,99757.8,130366.5,1,2
6022,2,2009,2,20,9,30,10,1:38.427,202.737,103452.0,121687.77777777778,10,13
1631,2,2009,2,16,10,30,17,1:39.464,200.623,104898.6,122083.11111111112,16,18
2604,2,2009,2,8,6,31,17,1:38.453,202.683,102648.0,128790.2,6,15
8843,2,2009,2,6,3,31,17,1:39.387,200.778,104551.8,131593.3,14,11
325,2,2009,2,22,23,31,17,1:37.484,204.698,101675.4,127352.0,4,4
650,2,2009,2,15,7,31,12,1:37.591,204.473,100152.2,127286.9,2,3
2946,2,2009,2,13,6,31,17,1:39.250,201.055,103908.8,128671.4,12,8
896,2,2009,2,10,7,31,18,1:39.406,200.740,102971.2,120681.4,8,12
10388,2,2009,2,12,4,31,18,1:39.268,201.019,104321.2,132315.3,13,9
2180,2,2009,2,1,1,31,17,1:39.141,201.276,103626.4,127543.7,11,6
17,2,2009,2,18,23,31,18,1:36.641,206.483,100384.4,123813.3,3,1
1762,2,2009,2,2,2,31,17,1:39.084,201.392,103410.4,123356.2,9,7
1955,2,2009,2,21,10,29,16,1:39.407,200.738,105143.4,121884.375,17,17
34,3,2009,17,18,23,56,44,1:53.546,172.825,168648.8,117070.6,5,3
1363,3,2009,17,3,3,55,55,1:54.243,171.770,170836.2,122620.88888888888,10,15
1600,3,2009,17,7,5,56,43,1:53.474,172.934,172141.2,117877.5,15,13
901,3,2009,17,10,7,56,42,1:52.703,174.117,173998.0,117209.8,19,9
338,3,2009,17,22,23,56,42,1:52.592,174.289,168475.6,117530.0,4,4
3846,3,2009,17,17,9,56,42,1:52.980,173.690,168154.4,115432.1,3,2
10390,3,2009,17,12,4,54,42,1:55.535,169.849,172541.0,117520.25,16,17
2191,3,2009,17,1,1,56,39,1:54.665,171.138,170340.0,117925.7,8,5
1547,3,2009,17,67,5,56,42,1:54.590,171.250,170648.6,116918.9,9,10
1640,3,2009,17,16,10,50,41,1:54.777,170.971,174371.6,117007.0,20,7
1964,3,2009,17,21,10,55,37,1:56.239,168.821,172866.8,118311.22222222222,17,16
2611,3,2009,17,8,6,56,38,1:55.396,170.054,170144.6,117692.7,7,12
5784,3,2009,17,9,2,56,44,1:55.350,170.122,173314.8,116468.2,18,14
6024,3,2009,17,20,9,56,42,1:52.627,174.235,167896.0,115907.6,1,1
1773,3,2009,17,2,2,56,40,1:54.158,171.898,171028.8,119417.4,11,8
1019,3,2009,17,4,4,56,38,1:54.481,171.413,168052.0,117351.2,2,11
2479,3,2009,17,5,1,56,41,1:54.516,171.361,171285.4,116992.8,12,6
6037,4,2009,3,20,9,57,16,1:34.756,205.614,97256.0,95579.7,5,2
1781,4,2009,3,2,2,56,52,1:35.924,203.110,108755.6,96184.33333333331,20,20
346,4,2009,3,22,23,57,25,1:34.901,205.300,97510.0,98250.8,6,4
1034,4,2009,3,4,4,57,29,1:35.722,203.539,98412.4,96722.5,8,8
5793,4,2009,3,9,2,56,50,1:35.706,203.573,107355.0,96299.44444444444,18,19
3856,4,2009,3,17,9,57,50,1:35.165,204.730,99898.4,95962.9,11,11
1368,4,2009,3,3,3,57,37,1:35.816,203.339,98735.0,97194.0,9,9
1550,4,2009,3,67,5,56,38,1:36.473,201.954,102160.6,97278.44444444444,15,17
1967,4,2009,3,21,10,56,9,1:36.376,202.158,100103.6,98383.88888888888,12,14
907,4,2009,3,10,7,57,6,1:34.574,206.010,95383.4,96493.0,1,7
2204,4,2009,3,1,1,57,13,1:34.915,205.269,97057.4,96274.6,4,5
1602,4,2009,3,7,5,57,30,1:35.410,204.205,102448.4,95929.2,16,13
670,4,2009,3,15,7,57,10,1:34.556,206.049,95703.0,95663.7,2,3
2983,4,2009,3,13,6,56,41,1:35.065,204.946,105561.0,97484.22222222222,17,15
2485,4,2009,3,5,1,57,54,1:35.520,203.969,101668.8,96005.5,13,12
8848,4,2009,3,6,3,48,39,1:36.153,202.627,108565.8,98790.0,19,18
2625,4,2009,3,8,6,57,42,1:35.498,204.016,98236.6,96476.9,7,6
10391,4,2009,3,12,4,57,37,1:35.441,204.138,99775.6,96534.3,10,10
1646,4,2009,3,16,10,56,28,1:36.219,202.488,101816.4,98131.33333333331,14,16
47,4,2009,3,18,23,57,11,1:34.588,205.979,96391.2,96152.6,3,1
1049,5,2009,4,4,4,66,14,1:23.420,200.887,133800.8,85000.4,6,6
1785,5,2009,4,2,2,66,29,1:23.878,199.790,134124.8,85096.7,9,7
1378,5,2009,4,3,3,66,24,1:23.621,200.404,133920.4,86152.1,7,8
6051,5,2009,4,20,9,66,41,1:23.090,201.684,133593.0,84381.9,4,5
911,5,2009,4,10,7,65,44,1:24.134,199.182,134028.8,86127.55555555556,8,10
5798,5,2009,4,9,2,65,26,1:24.078,199.314,134427.8,86064.33333333333,12,11
2231,5,2009,4,1,1,65,29,1:23.839,199.883,134735.8,86095.33333333333,14,9
8850,5,2009,4,6,3,65,38,1:24.155,199.132,135031.0,86804.11111111111,16,13
1976,5,2009,4,21,10,65,63,1:23.796,199.985,134896.0,84208.88888888889,15,14
353,5,2009,4,22,23,66,28,1:22.762,202.484,133261.8,84775.5,1,2
10393,5,2009,4,12,4,65,41,1:24.286,198.823,134602.0,86155.77777777778,13,12
3865,5,2009,4,17,9,66,18,1:23.112,201.631,133754.0,84715.9,5,3
59,5,2009,4,18,23,66,17,1:22.899,202.149,133352.8,84513.0,2,1
2988,5,2009,4,13,6,66,14,1:23.089,201.687,133471.4,87637.9,3,4
1606,6,2009,6,7,5,78,47,1:16.178,157.840,83746.2,77115.7,13,8
1389,6,2009,6,3,3,78,48,1:15.772,158.686,81517.2,76809.7,6,6
3003,6,2009,6,13,6,78,50,1:15.154,159.991,81314.8,77112.1,5,4
2249,6,2009,6,1,1,77,65,1:15.706,158.824,84542.6,79111.33333333333,17,14
916,6,2009,6,10,7,77,72,1:16.066,158.073,85929.4,77998.88888888889,19,12
1659,6,2009,6,16,10,77,66,1:16.245,157.702,84134.0,77534.22222222222,14,15
694,6,2009,6,15,7,77,57,1:16.011,158.187,85532.6,79457.55555555556,18,13
3877,6,2009,6,17,9,78,45,1:15.321,159.636,81879.0,76768.5,8,5
1986,6,2009,6,21,10,78,74,1:16.419,157.343,84281.0,77189.8,15,9
372,6,2009,6,22,23,78,46,1:15.685,158.868,80174.2,77136.7,2,2
2661,6,2009,6,8,6,78,47,1:15.382,159.507,80529.2,77060.2,3,3
1797,6,2009,6,2,2,77,49,1:16.268,157.654,84487.0,80252.66666666667,16,11
1068,6,2009,6,4,4,78,64,1:15.371,159.530,82161.4,76443.8,9,7
8852,6,2009,6,6,3,76,73,1:15.792,158.644,82661.6,79855.625,10,10
75,6,2009,6,18,23,78,49,1:15.190,159.914,79858.2,77565.1,1,1
1086,7,2009,5,4,4,58,57,1:28.389,217.411,92298.6,89305.3,7,10
10397,7,2009,5,12,4,57,45,1:28.340,217.532,94500.0,89584.22222222222,16,16
1559,7,2009,5,67,5,57,57,1:28.624,216.835,95120.6,89473.66666666667,18,15
1665,7,2009,5,16,10,57,55,1:29.192,215.454,94255.4,89897.11111111111,15,17
2250,7,2009,5,1,1,58,53,1:28.562,216.986,94679.8,89359.5,17,13
707,7,2009,5,15,7,58,40,1:27.868,218.700,91320.4,88746.2,4,4
92,7,2009,5,18,23,58,40,1:27.579,219.422,89628.0,89778.7,1,1
3889,7,2009,5,17,9,58,42,1:27.809,218.847,90792.2,88458.8,3,3
2503,7,2009,5,5,1,57,41,1:29.174,215.497,93280.4,90100.22222222222,11,14
921,7,2009,5,10,7,58,56,1:27.883,218.663,93608.2,88396.9,13,8
1608,7,2009,5,7,5,57,53,1:29.022,215.865,95850.0,89423.33333333333,19,18
3018,7,2009,5,13,6,58,41,1:28.176,217.936,92051.4,88766.0,6,6
5805,7,2009,5,9,2,58,58,1:28.008,218.352,92541.0,88390.9,8,7
8853,7,2009,5,6,3,58,58,1:27.988,218.402,93091.6,88495.8,10,12
1807,7,2009,5,2,2,58,43,1:28.214,217.842,94083.6,88993.8,14,11
2679,7,2009,5,8,6,58,58,1:28.061,218.221,92701.8,88486.0,9,9
1400,7,2009,5,3,3,58,36,1:28.222,217.823,91746.4,88828.3,5,5
6080,7,2009,5,20,9,58,51,1:27.622,219.314,90139.8,89925.0,2,2
3896,8,2009,9,17,9,60,57,1:20.915,228.728,84010.8,82130.2,3,2
1406,8,2009,9,3,3,60,17,1:21.054,228.336,85038.0,82348.3,6,5
2686,8,2009,9,8,6,60,14,1:21.656,226.653,84770.8,83218.4,5,8
8855,8,2009,9,6,3,60,14,1:21.845,226.129,84512.2,83012.2,4,11
1562,8,2009,9,67,5,59,24,1:22.711,223.762,89110.4,84129.55555555556,18,18
