,raceId,year,circuitId,driverId,constructorId,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms
0,1,2009,1,18,23.0,1.0,8711.0,9255.0,8802.0
1,1,2009,1,8,6.0,9.0,9399.0,8880.0,8863.0
2,1,2009,1,6,3.0,13.0,8674.0,9107.0,27352.0
3,1,2009,1,5,1.0,14.0,8784.0,9226.0,27352.0
4,1,2009,1,1,1.0,15.0,9054.0,27578.0,27352.0
5,1,2009,1,21,10.0,18.0,9277.0,27578.0,27352.0
6,1,2009,1,2,2.0,11.0,9327.0,9004.0,27352.0
7,1,2009,1,20,9.0,3.0,9438.0,8621.0,9430.0
8,1,2009,1,16,10.0,19.0,9342.0,27578.0,27352.0
9,1,2009,1,67,5.0,16.0,9103.0,27578.0,27352.0
10,1,2009,1,12,4.0,17.0,9198.0,27578.0,27352.0
11,1,2009,1,3,3.0,5.0,9346.0,8623.0,9573.0
12,1,2009,1,4,4.0,12.0,8626.0,9105.0,27352.0
13,1,2009,1,10,7.0,6.0,8999.0,8781.0,9575.0
14,1,2009,1,15,7.0,8.0,8794.0,8765.0,8827.0
15,1,2009,1,7,5.0,20.0,9564.0,27578.0,27352.0
16,1,2009,1,9,2.0,4.0,9422.0,8652.0,9514.0
17,1,2009,1,22,23.0,2.0,8506.0,9183.0,9105.0
18,1,2009,1,17,9.0,10.0,8927.0,8741.0,8946.0
19,1,2009,1,13,6.0,7.0,9344.0,8819.0,8733.0
20,2,2009,2,13,6.0,16.0,10142.0,27578.0,27352.0
21,2,2009,2,6,3.0,12.0,9841.0,10188.0,27352.0
22,2,2009,2,15,7.0,2.0,10145.0,10290.0,9773.0
23,2,2009,2,5,1.0,14.0,9523.0,10324.0,27352.0
24,2,2009,2,1,1.0,13.0,9780.0,10305.0,27352.0
25,2,2009,2,17,9.0,7.0,9527.0,9622.0,10297.0
26,2,2009,2,10,7.0,5.0,10307.0,9658.0,10190.0
27,2,2009,2,22,23.0,4.0,10081.0,9787.0,10151.0
28,2,2009,2,2,2.0,11.0,9610.0,10169.0,27352.0
29,2,2009,2,16,10.0,19.0,10451.0,27578.0,27352.0
30,2,2009,2,7,5.0,15.0,10007.0,9931.0,27352.0
31,2,2009,2,4,4.0,10.0,9760.0,10106.0,10359.0
32,2,2009,2,67,5.0,20.0,9707.0,27578.0,27352.0
33,2,2009,2,12,4.0,17.0,10208.0,27578.0,27352.0
34,2,2009,2,8,6.0,9.0,9976.0,9856.0,9770.0
35,2,2009,2,21,10.0,18.0,10408.0,27578.0,27352.0
36,2,2009,2,3,3.0,6.0,9583.0,9947.0,10250.0
37,2,2009,2,9,2.0,8.0,9666.0,9962.0,9706.0
38,2,2009,2,20,9.0,3.0,10335.0,9676.0,10018.0
39,2,2009,2,18,23.0,1.0,9558.0,10084.0,9681.0
40,3,2009,17,12,4.0,17.0,10508.0,27578.0,27352.0
41,3,2009,17,1,1.0,9.0,10276.0,10240.0,10395.0
42,3,2009,17,21,10.0,20.0,10372.0,27578.0,27352.0
43,3,2009,17,13,6.0,13.0,9778.0,9633.0,27352.0
44,3,2009,17,4,4.0,2.0,10043.0,10303.0,9981.0
45,3,2009,17,10,7.0,14.0,9964.0,9666.0,27352.0
46,3,2009,17,5,1.0,12.0,10246.0,9632.0,27352.0
47,3,2009,17,2,2.0,11.0,10125.0,10475.0,27352.0
48,3,2009,17,22,23.0,4.0,10201.0,10003.0,10093.0
49,3,2009,17,3,3.0,7.0,10441.0,10309.0,10097.0
50,3,2009,17,15,7.0,6.0,9908.0,10145.0,10435.0
51,3,2009,17,17,9.0,3.0,10251.0,9673.0,10066.0
52,3,2009,17,16,10.0,19.0,10369.0,27578.0,27352.0
53,3,2009,17,9,2.0,18.0,10566.0,27578.0,27352.0
54,3,2009,17,67,5.0,10.0,9884.0,10465.0,10221.0
55,3,2009,17,7,5.0,16.0,10506.0,27578.0,27352.0
56,3,2009,17,6,3.0,15.0,10273.0,9793.0,27352.0
57,3,2009,17,18,23.0,5.0,10033.0,10056.0,10132.0
58,3,2009,17,20,9.0,1.0,10165.0,9630.0,9784.0
59,3,2009,17,8,6.0,8.0,9737.0,10356.0,9889.0
60,4,2009,3,16,10.0,16.0,10022.0,27578.0,27352.0
61,4,2009,3,17,9.0,19.0,9438.0,27578.0,27352.0
62,4,2009,3,21,10.0,18.0,10210.0,27578.0,27352.0
63,4,2009,3,8,6.0,10.0,9417.0,10027.0,9880.0
64,4,2009,3,22,23.0,6.0,9416.0,10042.0,9639.0
65,4,2009,3,67,5.0,17.0,10053.0,27578.0,27352.0
66,4,2009,3,2,2.0,14.0,9677.0,9862.0,27352.0
67,4,2009,3,13,6.0,8.0,9597.0,9314.0,10218.0
68,4,2009,3,7,5.0,20.0,9559.0,27578.0,27352.0
69,4,2009,3,10,7.0,2.0,9465.0,9813.0,10012.0
70,4,2009,3,9,2.0,13.0,9795.0,9787.0,27352.0
71,4,2009,3,12,4.0,15.0,9908.0,10241.0,27352.0
72,4,2009,3,3,3.0,9.0,9972.0,9466.0,9634.0
73,4,2009,3,1,1.0,5.0,10051.0,10077.0,9596.0
74,4,2009,3,20,9.0,3.0,9880.0,9674.0,9415.0
75,4,2009,3,4,4.0,7.0,9927.0,10060.0,9978.0
76,4,2009,3,15,7.0,1.0,9999.0,9871.0,9731.0
77,4,2009,3,18,23.0,4.0,10178.0,10042.0,9444.0
78,4,2009,3,6,3.0,12.0,9521.0,9648.0,27352.0
79,4,2009,3,5,1.0,11.0,9779.0,9542.0,27352.0
80,5,2009,4,3,3.0,9.0,8745.0,8256.0,8758.0
81,5,2009,4,6,3.0,11.0,8818.0,8531.0,27352.0
82,5,2009,4,13,6.0,4.0,8484.0,8149.0,8934.0
83,5,2009,4,67,5.0,15.0,8133.0,8167.0,27352.0
84,5,2009,4,20,9.0,2.0,8715.0,8220.0,8660.0
85,5,2009,4,9,2.0,10.0,8931.0,8408.0,8885.0
86,5,2009,4,7,5.0,17.0,8400.0,27578.0,27352.0
87,5,2009,4,16,10.0,19.0,8842.0,27578.0,27352.0
88,5,2009,4,10,7.0,6.0,8877.0,8107.0,8347.0
89,5,2009,4,17,9.0,5.0,8689.0,8007.0,8149.0
90,5,2009,4,15,7.0,7.0,8289.0,8420.0,8354.0
91,5,2009,4,18,23.0,1.0,8707.0,8192.0,8527.0
92,5,2009,4,5,1.0,18.0,8775.0,27578.0,27352.0
93,5,2009,4,8,6.0,16.0,8391.0,27578.0,27352.0
94,5,2009,4,4,4.0,8.0,8286.0,8509.0,8492.0
95,5,2009,4,22,23.0,3.0,8808.0,8854.0,8762.0
96,5,2009,4,1,1.0,14.0,8991.0,8805.0,27352.0
97,5,2009,4,21,10.0,20.0,8404.0,27578.0,27352.0
98,5,2009,4,12,4.0,12.0,8228.0,8604.0,27352.0
99,5,2009,4,2,2.0,13.0,8195.0,8676.0,27352.0
100,6,2009,6,3,3.0,6.0,7594.0,8246.0,7955.0
101,6,2009,6,4,4.0,9.0,8398.0,7700.0,7609.0
102,6,2009,6,12,4.0,12.0,7613.0,8337.0,27352.0
103,6,2009,6,13,6.0,5.0,7840.0,7501.0,7937.0
104,6,2009,6,20,9.0,4.0,8415.0,8279.0,7771.0
105,6,2009,6,7,5.0,14.0,7720.0,7881.0,27352.0
106,6,2009,6,6,3.0,10.0,8430.0,8079.0,8044.0
107,6,2009,6,5,1.0,7.0,7995.0,8209.0,8016.0
108,6,2009,6,17,9.0,8.0,7760.0,8225.0,8153.0
109,6,2009,6,15,7.0,19.0,8148.0,27578.0,27352.0
110,6,2009,6,1,1.0,16.0,7864.0,27578.0,27352.0
111,6,2009,6,67,5.0,11.0,8334.0,8333.0,27352.0
112,6,2009,6,8,6.0,2.0,8246.0,7914.0,8327.0
113,6,2009,6,18,23.0,1.0,7710.0,7516.0,8302.0
114,6,2009,6,21,10.0,13.0,7663.0,7746.0,27352.0
115,6,2009,6,2,2.0,17.0,7864.0,27578.0,27352.0
116,6,2009,6,16,10.0,15.0,7848.0,8145.0,27352.0
117,6,2009,6,9,2.0,18.0,8005.0,27578.0,27352.0
118,6,2009,6,10,7.0,20.0,8388.0,27578.0,27352.0
119,6,2009,6,22,23.0,3.0,7925.0,8229.0,7577.0
120,7,2009,5,15,7.0,5.0,9229.0,8895.0,9466.0
121,7,2009,5,4,4.0,8.0,9688.0,9173.0,8975.0
122,7,2009,5,10,7.0,13.0,8960.0,9495.0,27352.0
123,7,2009,5,22,23.0,3.0,9071.0,9118.0,9379.0
124,7,2009,5,17,9.0,4.0,9166.0,9116.0,9413.0
125,7,2009,5,16,10.0,15.0,9078.0,9191.0,27352.0
126,7,2009,5,2,2.0,11.0,9495.0,9221.0,27352.0
127,7,2009,5,1,1.0,16.0,9118.0,27578.0,27352.0
128,7,2009,5,6,3.0,12.0,9391.0,9329.0,27352.0
129,7,2009,5,21,10.0,19.0,9517.0,27578.0,27352.0
130,7,2009,5,18,23.0,2.0,9055.0,8930.0,9221.0
131,7,2009,5,20,9.0,1.0,9030.0,8716.0,9116.0
132,7,2009,5,8,6.0,6.0,9256.0,9087.0,9615.0
133,7,2009,5,7,5.0,20.0,9718.0,27578.0,27352.0
134,7,2009,5,67,5.0,18.0,9508.0,27578.0,27352.0
135,7,2009,5,13,6.0,7.0,9208.0,9049.0,9658.0
136,7,2009,5,12,4.0,17.0,9382.0,27578.0,27352.0
137,7,2009,5,9,2.0,10.0,9488.0,9155.0,9257.0
138,7,2009,5,3,3.0,9.0,9217.0,9118.0,9091.0
139,7,2009,5,5,1.0,14.0,8999.0,9007.0,27352.0
140,8,2009,9,5,1.0,13.0,8632.0,8253.0,27352.0
141,8,2009,9,22,23.0,2.0,8225.0,8135.0,8756.0
142,8,2009,9,20,9.0,1.0,8485.0,7919.0,8409.0
143,8,2009,9,9,2.0,12.0,8630.0,8208.0,27352.0
144,8,2009,9,6,3.0,5.0,8330.0,8375.0,8216.0
145,8,2009,9,8,6.0,9.0,7910.0,8366.0,8715.0
146,8,2009,9,4,4.0,10.0,8067.0,8561.0,8741.0
147,8,2009,9,15,7.0,4.0,8686.0,8040.0,8091.0
148,8,2009,9,13,6.0,11.0,8048.0,8727.0,27352.0
149,8,2009,9,16,10.0,18.0,8809.0,27578.0,27352.0
150,8,2009,9,17,9.0,3.0,8474.0,8009.0,8768.0
151,8,2009,9,7,5.0,17.0,8798.0,27578.0,27352.0
152,8,2009,9,10,7.0,8.0,8098.0,8591.0,8490.0
153,8,2009,9,67,5.0,20.0,8236.0,27578.0,27352.0
154,8,2009,9,12,4.0,14.0,8455.0,8292.0,27352.0
155,8,2009,9,3,3.0,7.0,8128.0,8391.0,8361.0
156,8,2009,9,1,1.0,19.0,8817.0,27578.0,27352.0
157,8,2009,9,21,10.0,16.0,8702.0,27578.0,27352.0
158,8,2009,9,2,2.0,15.0,8459.0,8348.0,27352.0
159,8,2009,9,18,23.0,6.0,8757.0,8463.0,8289.0
160,9,2009,20,7,5.0,20.0,9859.0,27578.0,27352.0
161,9,2009,20,8,6.0,9.0,9969.0,10830.0,10110.0
162,9,2009,20,22,23.0,2.0,9582.0,9855.0,9557.0
163,9,2009,20,16,10.0,7.0,9215.0,10340.0,9716.0
164,9,2009,20,13,6.0,8.0,9700.0,10808.0,9974.0
165,9,2009,20,10,7.0,19.0,9623.0,27578.0,27352.0
166,9,2009,20,5,1.0,6.0,9981.0,10826.0,10159.0
167,9,2009,20,17,9.0,1.0,9357.0,9838.0,9430.0
168,9,2009,20,21,10.0,18.0,9602.0,27578.0,27352.0
169,9,2009,20,12,4.0,10.0,9328.0,10237.0,10203.0
170,9,2009,20,67,5.0,17.0,9451.0,27578.0,27352.0
171,9,2009,20,15,7.0,14.0,9860.0,10971.0,27352.0
172,9,2009,20,4,4.0,12.0,9402.0,10518.0,27352.0
173,9,2009,20,6,3.0,13.0,9984.0,10700.0,27352.0
174,9,2009,20,9,2.0,16.0,9390.0,27578.0,27352.0
175,9,2009,20,2,2.0,11.0,9871.0,10510.0,27352.0
176,9,2009,20,1,1.0,5.0,9573.0,10049.0,9816.0
177,9,2009,20,20,9.0,4.0,9530.0,10404.0,9680.0
178,9,2009,20,18,23.0,3.0,9668.0,9932.0,9673.0
179,9,2009,20,3,3.0,15.0,9698.0,11059.0,27352.0
180,10,2009,11,153,5.0,20.0,8559.0,27578.0,27352.0
181,10,2009,11,17,9.0,3.0,8964.0,8358.0,8841.0
182,10,2009,11,9,2.0,19.0,9001.0,27578.0,27352.0
183,10,2009,11,4,4.0,1.0,8413.0,8826.0,8669.0
184,10,2009,11,13,6.0,10.0,8520.0,8823.0,27352.0
185,10,2009,11,16,10.0,18.0,8968.0,27578.0,27352.0
186,10,2009,11,8,6.0,7.0,8600.0,8647.0,8668.0
187,10,2009,11,5,1.0,6.0,8759.0,8807.0,8295.0
188,10,2009,11,6,3.0,9.0,8507.0,8570.0,9035.0
189,10,2009,11,2,2.0,16.0,8838.0,27578.0,27352.0
190,10,2009,11,20,9.0,2.0,8278.0,8604.0,8707.0
191,10,2009,11,21,10.0,17.0,8907.0,27578.0,27352.0
192,10,2009,11,22,23.0,13.0,8658.0,8322.0,27352.0
193,10,2009,11,15,7.0,12.0,8516.0,8182.0,27352.0
194,10,2009,11,18,23.0,8.0,8571.0,8707.0,8711.0
195,10,2009,11,10,7.0,14.0,8684.0,8342.0,27352.0
196,10,2009,11,1,1.0,4.0,8842.0,8465.0,8939.0
197,10,2009,11,3,3.0,5.0,8793.0,8862.0,8990.0
198,10,2009,11,67,5.0,11.0,8671.0,8102.0,27352.0
199,10,2009,11,12,4.0,15.0,8378.0,8489.0,27352.0
200,11,2009,12,67,5.0,15.0,10712.0,10414.0,27352.0
201,11,2009,12,17,9.0,9.0,10783.0,10425.0,10239.0
202,11,2009,12,20,9.0,4.0,10195.0,10073.0,10689.0
203,11,2009,12,154,4.0,14.0,10222.0,9940.0,27352.0
204,11,2009,12,1,1.0,1.0,10449.0,9982.0,10389.0
205,11,2009,12,4,4.0,8.0,10055.0,10517.0,10236.0
206,11,2009,12,8,6.0,6.0,10643.0,10582.0,10144.0
207,11,2009,12,16,10.0,12.0,10045.0,10646.0,27352.0
208,11,2009,12,22,23.0,3.0,9919.0,9876.0,10463.0
209,11,2009,12,10,7.0,13.0,10359.0,10791.0,27352.0
210,11,2009,12,9,2.0,10.0,10606.0,10547.0,10512.0
211,11,2009,12,153,5.0,19.0,10825.0,27578.0,27352.0
212,11,2009,12,2,2.0,11.0,9932.0,10626.0,27352.0
213,11,2009,12,15,7.0,18.0,10707.0,27578.0,27352.0
214,11,2009,12,5,1.0,2.0,10616.0,10030.0,10432.0
215,11,2009,12,6,3.0,17.0,10695.0,27578.0,27352.0
216,11,2009,12,69,6.0,20.0,10513.0,27578.0,27352.0
217,11,2009,12,18,23.0,5.0,10331.0,10401.0,10721.0
218,11,2009,12,21,10.0,16.0,10431.0,27578.0,27352.0
219,11,2009,12,3,3.0,7.0,9939.0,10146.0,10185.0
220,12,2009,13,10,7.0,7.0,10950.0,11277.0,11277.0
221,12,2009,13,153,5.0,17.0,10902.0,27578.0,27352.0
222,12,2009,13,8,6.0,6.0,11079.0,11353.0,11233.0
223,12,2009,13,4,4.0,13.0,11207.0,10636.0,27352.0
224,12,2009,13,2,2.0,3.0,11066.0,11109.0,11100.0
225,12,2009,13,5,1.0,15.0,11205.0,10759.0,27352.0
226,12,2009,13,15,7.0,2.0,10640.0,10903.0,10995.0
227,12,2009,13,69,6.0,20.0,11557.0,27578.0,27352.0
228,12,2009,13,16,10.0,11.0,10739.0,10619.0,27352.0
229,12,2009,13,3,3.0,10.0,10986.0,10547.0,11062.0
230,12,2009,13,67,5.0,16.0,11451.0,27578.0,27352.0
231,12,2009,13,20,9.0,8.0,10872.0,10992.0,11361.0
232,12,2009,13,9,2.0,5.0,11155.0,10957.0,11186.0
233,12,2009,13,17,9.0,9.0,10850.0,11324.0,11388.0
234,12,2009,13,22,23.0,4.0,10737.0,11234.0,11113.0
235,12,2009,13,154,4.0,19.0,10959.0,27578.0,27352.0
236,12,2009,13,18,23.0,14.0,11261.0,10751.0,27352.0
237,12,2009,13,21,10.0,1.0,10602.0,11067.0,10908.0
238,12,2009,13,1,1.0,12.0,11267.0,10622.0,27352.0
239,12,2009,13,6,3.0,18.0,10907.0,27578.0,27352.0
240,13,2009,14,3,3.0,18.0,8521.0,27578.0,27352.0
241,13,2009,14,8,6.0,3.0,8649.0,8726.0,8923.0
242,13,2009,14,24,10.0,7.0,8878.0,8507.0,8543.0
243,13,2009,14,4,4.0,8.0,9008.0,8797.0,8572.0
244,13,2009,14,17,9.0,10.0,9055.0,8573.0,8814.0
245,13,2009,14,67,5.0,19.0,8620.0,27578.0,27352.0
246,13,2009,14,2,2.0,15.0,8884.0,8675.0,27352.0
247,13,2009,14,1,1.0,1.0,8675.0,9173.0,8466.0
248,13,2009,14,20,9.0,9.0,8858.0,8845.0,8680.0
249,13,2009,14,6,3.0,17.0,8474.0,27578.0,27352.0
250,13,2009,14,18,23.0,6.0,8703.0,9155.0,8530.0
251,13,2009,14,154,4.0,12.0,9275.0,9028.0,27352.0
252,13,2009,14,21,6.0,14.0,9128.0,9201.0,27352.0
253,13,2009,14,5,1.0,4.0,8815.0,8828.0,9245.0
254,13,2009,14,15,7.0,11.0,8414.0,8911.0,27352.0
255,13,2009,14,9,2.0,13.0,8401.0,9166.0,27352.0
256,13,2009,14,16,10.0,2.0,8876.0,8370.0,8661.0
257,13,2009,14,10,7.0,16.0,8436.0,27578.0,27352.0
258,13,2009,14,153,5.0,20.0,9351.0,27578.0,27352.0
259,13,2009,14,22,23.0,5.0,8783.0,9176.0,8515.0
260,14,2009,15,10,7.0,7.0,11470.0,11307.0,11080.0
261,14,2009,15,24,10.0,20.0,11592.0,27578.0,27352.0
262,14,2009,15,154,4.0,19.0,11344.0,27578.0,27352.0
263,14,2009,15,18,23.0,12.0,10880.0,10841.0,27352.0
264,14,2009,15,4,4.0,6.0,11457.0,11367.0,10954.0
265,14,2009,15,6,3.0,11.0,11337.0,10713.0,27352.0
266,14,2009,15,16,10.0,16.0,11031.0,27578.0,27352.0
267,14,2009,15,17,9.0,4.0,11346.0,10928.0,11522.0
268,14,2009,15,2,2.0,8.0,11047.0,11432.0,11207.0
269,14,2009,15,15,7.0,15.0,11390.0,11113.0,27352.0
270,14,2009,15,20,9.0,2.0,11241.0,10962.0,11004.0
271,14,2009,15,153,5.0,17.0,11140.0,27578.0,27352.0
272,14,2009,15,67,5.0,14.0,11377.0,11069.0,27352.0
273,14,2009,15,3,3.0,3.0,11090.0,10797.0,11148.0
274,14,2009,15,22,23.0,5.0,11097.0,11387.0,11628.0
275,14,2009,15,8,6.0,13.0,10993.0,10877.0,27352.0
276,14,2009,15,5,1.0,10.0,11242.0,11442.0,11678.0
277,14,2009,15,9,2.0,9.0,11315.0,11413.0,11414.0
278,14,2009,15,1,1.0,1.0,11577.0,11257.0,11591.0
279,14,2009,15,21,6.0,18.0,11150.0,27578.0,27352.0
280,15,2009,22,8,6.0,8.0,9388.0,9152.0,10180.0
281,15,2009,22,10,7.0,14.0,9650.0,27578.0,27352.0
282,15,2009,22,15,7.0,2.0,9163.0,9737.0,9420.0
283,15,2009,22,21,6.0,16.0,9804.0,27578.0,27352.0
284,15,2009,22,2,2.0,6.0,9601.0,9360.0,10145.0
285,15,2009,22,153,5.0,15.0,9671.0,27578.0,27352.0
286,15,2009,22,3,3.0,11.0,9386.0,9582.0,27352.0
287,15,2009,22,24,10.0,19.0,9287.0,27578.0,27352.0
288,15,2009,22,20,9.0,1.0,9883.0,9341.0,9360.0
289,15,2009,22,9,2.0,13.0,9517.0,9541.0,27352.0
290,15,2009,22,6,3.0,17.0,9818.0,27578.0,27352.0
291,15,2009,22,1,1.0,3.0,9917.0,9627.0,9595.0
292,15,2009,22,67,5.0,10.0,9296.0,9203.0,27352.0
293,15,2009,22,18,23.0,7.0,9141.0,9880.0,10162.0
294,15,2009,22,22,23.0,5.0,9372.0,9155.0,9860.0
295,15,2009,22,5,1.0,9.0,9599.0,9323.0,27352.0
296,15,2009,22,4,4.0,12.0,9501.0,9738.0,27352.0
297,15,2009,22,16,10.0,4.0,9486.0,9322.0,9666.0
298,15,2009,22,154,4.0,18.0,9273.0,27578.0,27352.0
299,15,2009,22,17,9.0,20.0,201680.0,27578.0,27352.0
300,16,2009,18,2,2.0,19.0,9015.0,27578.0,27352.0
301,16,2009,18,16,10.0,3.0,8847.0,8753.0,8812.0
302,16,2009,18,3,3.0,7.0,9028.0,8368.0,8326.0
303,16,2009,18,153,5.0,12.0,9173.0,8431.0,27352.0
304,16,2009,18,15,7.0,4.0,9021.0,8635.0,8097.0
305,16,2009,18,22,23.0,1.0,8500.0,8759.0,8476.0
306,16,2009,18,5,1.0,17.0,8552.0,27578.0,27352.0
307,16,2009,18,8,6.0,5.0,8347.0,8478.0,8168.0
308,16,2009,18,18,23.0,14.0,8697.0,8704.0,27352.0
309,16,2009,18,21,6.0,20.0,10703.0,27578.0,27352.0
310,16,2009,18,154,4.0,13.0,8794.0,8677.0,27352.0
311,16,2009,18,1,1.0,18.0,8692.0,27578.0,27352.0
312,16,2009,18,6,3.0,9.0,8461.0,8427.0,8674.0
313,16,2009,18,17,9.0,2.0,9122.0,8803.0,8568.0
314,16,2009,18,24,10.0,15.0,9045.0,27578.0,27352.0
315,16,2009,18,20,9.0,16.0,8509.0,27578.0,27352.0
316,16,2009,18,67,5.0,6.0,8991.0,8701.0,8250.0
317,16,2009,18,155,7.0,11.0,8735.0,9060.0,27352.0
318,16,2009,18,9,2.0,8.0,8372.0,8247.0,8631.0
319,16,2009,18,4,4.0,10.0,9242.0,8757.0,8522.0
320,17,2009,24,20,9.0,2.0,10666.0,10884.0,10715.0
321,17,2009,24,1,1.0,1.0,10773.0,10595.0,10948.0
322,17,2009,24,154,4.0,19.0,11050.0,27578.0,27352.0
323,17,2009,24,21,6.0,20.0,10384.0,27578.0,27352.0
324,17,2009,24,24,10.0,17.0,10801.0,27578.0,27352.0
325,17,2009,24,155,7.0,12.0,10135.0,10777.0,27352.0
326,17,2009,24,4,4.0,16.0,10767.0,27578.0,27352.0
327,17,2009,24,67,5.0,10.0,10908.0,10430.0,10913.0
328,17,2009,24,5,1.0,13.0,10808.0,10983.0,27352.0
329,17,2009,24,15,7.0,6.0,10517.0,10373.0,10997.0
330,17,2009,24,17,9.0,3.0,10667.0,10272.0,10826.0
331,17,2009,24,22,23.0,4.0,10574.0,10421.0,10886.0
332,17,2009,24,153,5.0,15.0,10603.0,10789.0,27352.0
333,17,2009,24,9,2.0,7.0,10520.0,10545.0,11092.0
334,17,2009,24,6,3.0,14.0,10196.0,10248.0,27352.0
335,17,2009,24,16,10.0,18.0,10936.0,27578.0,27352.0
336,17,2009,24,3,3.0,9.0,10842.0,10661.0,10783.0
337,17,2009,24,8,6.0,11.0,10200.0,10726.0,27352.0
338,17,2009,24,2,2.0,8.0,10558.0,10635.0,10543.0
339,17,2009,24,18,23.0,5.0,10378.0,10148.0,10992.0
340,18,2008,1,13,6.0,4.0,9494.0,9191.0,8878.0
341,18,2008,1,19,8.0,22.0,8959.0,27578.0,27352.0
342,18,2008,1,10,7.0,9.0,9519.0,8764.0,9493.0
343,18,2008,1,7,5.0,18.0,9146.0,27578.0,27352.0
344,18,2008,1,8,6.0,16.0,8740.0,27578.0,27352.0
345,18,2008,1,2,2.0,5.0,9460.0,9018.0,8936.0
